X,sp,pt,treatment,area,isolation,k,lnK
JT1,QG,F,N,4.388387937,1.144118754,0.348082698,0.129716535
JT1,XZ,F,G,4.388387937,1.144118754,0.35629573,0.132354394
JT1,XZ,F,N,4.388387937,1.144118754,0.674902492,0.223989529
JT4,BL,G,G,4.388387937,1.144118754,0.617302449,0.208791244
JT4,BL,G,N,4.388387937,1.144118754,0.783292708,0.251222634
JT4,CM,G,G,4.388387937,1.144118754,0.279547938,0.107056561
JT4,CM,G,N,4.388387937,1.144118754,0.615614693,0.208337794
JT4,FX,G,G,4.388387937,1.144118754,0.642894313,0.215609626
JT4,FX,G,N,4.388387937,1.144118754,1.506952691,0.399146138
JT4,MH,G,G,4.388387937,1.144118754,0.437886158,0.157724503
JT4,MH,G,N,4.388387937,1.144118754,0.490833995,0.173429287
JT4,QG,G,G,4.388387937,1.144118754,0.30723969,0.116355225
JT4,QG,G,N,4.388387937,1.144118754,0.470410728,0.167438663
JT4,XZ,G,G,4.388387937,1.144118754,0.34998466,0.130328834
JT4,XZ,G,N,4.388387937,1.144118754,0.655693091,0.218979837
LH1,BL,F,G,4.648950834,1.901160108,0.254839403,0.227007599
LH1,BL,F,N,4.648950834,1.901160108,0.685465532,0.226719876
LH1,CM,F,G,4.648950834,1.901160108,0.260937217,0.100693463
LH1,CM,F,N,4.648950834,1.901160108,0.634826442,0.213471653
LH1,FX,F,G,4.648950834,1.901160108,0.634816873,0.213469111
LH1,FX,F,N,4.648950834,1.901160108,1.638034055,0.421280398
LH1,MH,F,G,4.648950834,1.901160108,0.260740278,0.100625628
LH1,MH,F,N,4.648950834,1.901160108,0.2755557,0.105699428
LH1,QG,F,G,4.648950834,1.901160108,0.230841045,0.09020197
LH1,QG,F,N,4.648950834,1.901160108,0.219254239,0.086094274
LH1,XZ,F,G,4.648950834,1.901160108,0.398563145,0.14568208
LH1,XZ,F,N,4.648950834,1.901160108,0.594549907,0.202638117
LHD2,BL,F,G,4.648950834,1.901160108,0.33952699,0.292316559
